title,description,department
Attrition rate increase investigation,Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Contract manufacturer capacity shortage [TKT-5378],The contract manufacturer has informed that they cannot meet the agreed monthly production volumes due to their own capacity constraints.,Operations
Rebate from vendor not accounted for [TKT-5293],"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Salary processing delayed this month [TKT-5132],"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Long-term disability claim support [TKT-5517],An employee diagnosed with a long-term health condition needs HR support to navigate the company's disability insurance claim process.,HR
HR helpdesk response time complaint [TKT-5465],Employees are complaining that HR queries submitted through the internal helpdesk are taking more than 5 days to receive a response. Escalation needed.,HR
Interbank transfer confirmation delayed [TKT-5660],An interbank transfer made three days ago has not yet been credited to the beneficiary account. Bank is investigating but update is needed urgently.,Finance
Excessive product packaging complaint [TKT-5106],A customer audit team flagged that the product packaging uses significantly more material than necessary. Operations review of packaging standards is needed.,Operations
Grievance escalation to HR director [TKT-5193],An employee grievance that was not resolved at the manager level is being escalated to the HR director for formal review and decision.,HR
Teams meeting recording not available [TKT-5604],A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Mobile device remotely wiped incorrectly [TKT-5108],An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Logistics software system error [TKT-5497],The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Compressed air system pressure drop [TKT-5390],"The compressed air system pressure has dropped below the required operating level, affecting pneumatic equipment performance across the production floor.",Operations
Inbound inspection backlog [TKT-5516],The incoming goods inspection team has a backlog of 3 days worth of shipments waiting to be inspected. Production is being delayed as a result.,Operations
Employee assistance program awareness [TKT-5331],HR wants to send a communication to all employees about the available employee assistance program services including counseling and financial advice.,HR
Endpoint detection alert review [TKT-5214],IT security received an alert from the endpoint detection system about suspicious activity on one workstation. Investigation and response are needed.,IT Support
Attrition rate increase investigation [TKT-5101],Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Software vulnerability patch urgency [TKT-5395],A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Customer contract profitability review [TKT-5221],Finance analysis shows a major customer contract is operating at below target margins. Requesting management strategy session to decide on renegotiation approach.,Manager
Investment policy compliance check [TKT-5666],CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Chatbot transferred to wrong department [TKT-5377],"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Database backup restoration test needed [TKT-5506],IT policy requires quarterly restoration tests of database backups to verify data integrity. The last scheduled test was not completed and is overdue.,IT Support
Production line downtime report [TKT-5289],Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Laptop battery draining too fast [TKT-5082],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Escalation of repeated billing errors to client [TKT-5554],A client has been billed incorrectly for the third consecutive month despite corrections being made. Manager requesting executive involvement to resolve and retain the client.,Manager
Salary processing delayed this month [TKT-5092],"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Succession plan for key departing employee [TKT-5413],A key technical employee has submitted their resignation. Manager is requesting immediate support to identify and develop a succession candidate.,Manager
Laptop battery draining too fast [TKT-5322],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Safety incident near miss report [TKT-5490],A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Order placed on wrong address [TKT-5328],Customer accidentally placed an order to an old saved address. Requesting customer support to cancel or redirect the shipment before it is dispatched.,Customer Support
Staff welfare expense approval [TKT-5618],"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Contractor to employee reclassification [TKT-5339],A contractor who has worked exclusively for the company for 18 months may need to be reclassified as a permanent employee to comply with labor law.,HR
Quarter-end closing deadline missed by department [TKT-5286],A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
Candidate rejection communication [TKT-5128],HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Third-party audit finding response plan,External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Cross-platform file compatibility issue [TKT-5120],A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Annual insurance premium payment confirmation,Accounts team needs to confirm that the annual business insurance premium has been paid in full before the policy renewal date next week.,Finance
Data governance policy implementation [TKT-5254],IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Subscription billing date changed without notice [TKT-5626],Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Overtime authorization for production target [TKT-5253],Production team is requesting pre-authorized overtime for the next two weeks to meet a large customer order that was placed on short notice.,Operations
Return received but refund not initiated [TKT-5223],Customer returned an item and the tracking confirms it was delivered to the warehouse 12 days ago but no refund has been initiated yet.,Customer Support
Product listing shows wrong specifications [TKT-5491],Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Spare parts inventory running low [TKT-5287],Critical spare parts for production machinery are running below the minimum stock level. Procurement needs to be initiated before any equipment breakdown.,Operations
Approval for project scope change [TKT-5410],Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Unpaid leave impact on benefits [TKT-5462],"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Approval to promote from within [TKT-5527],Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Vendor shortlisting for new service [TKT-5297],Procurement team has shortlisted three vendors for a new service. Requesting management review of evaluation scorecard and decision on preferred vendor.,Manager
New equipment installation coordination [TKT-5296],"A new piece of manufacturing equipment is arriving next week. Operations needs to coordinate installation space, electrical connections and operator training.",Operations
Damaged product on arrival [TKT-5563],Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Employee assistance program awareness [TKT-5611],HR wants to send a communication to all employees about the available employee assistance program services including counseling and financial advice.,HR
Monthly closing checklist completion,Finance manager is following up with team members on outstanding items in the month-end closing checklist that are due by end of business today.,Finance
Employee not enrolled in payroll system [TKT-5049],New employee who joined 6 weeks ago was never enrolled in the payroll system and has not received any salary payment for the past month.,Finance
Third-party logistics partner performance drop [TKT-5448],Delivery completion rates by the third-party logistics partner have dropped from 96 percent to 81 percent in the last month. Contract review is needed.,Operations
Incorrect bank details for salary transfer [TKT-5162],Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Payroll cut-off date reminder [TKT-5492],"HR is reminding all managers that any salary-related changes including promotions, transfers and terminations must be submitted before the payroll cut-off date.",HR
Change management support request [TKT-5168],A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Pallet racking structural integrity concern [TKT-5360],A warehouse supervisor noticed a bent upright on one of the pallet racking structures. The section has been cordoned off pending a structural inspection.,Operations
Client onboarding process improvement [TKT-5083],Multiple clients have complained about the complexity of the onboarding process. Manager is requesting approval to redesign the process with a dedicated task force.,Manager
Employee safety boot replacement [TKT-5314],Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Digital certificate for code signing needed [TKT-5647],Developer needs a code signing certificate to sign software releases before distribution. Requesting IT to procure and configure the appropriate certificate.,IT Support
Merger due diligence team formation [TKT-5078],"Following a board decision to explore a potential acquisition, management needs to form an internal due diligence team from finance, legal, HR and operations.",Manager
Charitable donation tax deduction query [TKT-5355],Company made a donation to a registered charity last month. Finance needs to confirm the correct tax deduction section under which to claim the exemption.,Finance
Cross-border payroll compliance query [TKT-5079],An employee who has been working from another country for 6 months has raised questions about cross-border payroll tax and social security implications.,HR
Third-party audit finding response plan [TKT-5486],External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Multi-factor authentication app switch [TKT-5296],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Digital certificate for code signing needed [TKT-5327],Developer needs a code signing certificate to sign software releases before distribution. Requesting IT to procure and configure the appropriate certificate.,IT Support
Machine calibration due,Three precision machines in the production facility are due for calibration. Uncalibrated equipment may be producing out-of-specification products.,Operations
Staff augmentation request [TKT-5330],A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Revenue deferral calculation for subscription [TKT-5263],Company sells annual subscriptions and needs guidance on how to correctly defer and recognize revenue on a monthly basis for accounting purposes.,Finance
Technology adoption roadmap review [TKT-5542],IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Skill gap analysis for department,HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Delivery attempted but no notification sent [TKT-5179],Courier attempted delivery while customer was home but did not ring the doorbell and left a card instead. No advance notification was given.,Customer Support
Deferred bonus payment query [TKT-5268],Employee has a deferred bonus that was promised as part of a retention agreement two years ago. The payment date has arrived and the bonus has not been paid.,HR
Termination letter issuance [TKT-5507],"Following a disciplinary process that concluded with a termination decision, HR needs to prepare and issue the formal termination letter to the employee.",HR
Unannounced customer plant visit [TKT-5353],A major customer has requested an unannounced plant visit in 48 hours to conduct their own audit. Operations needs to prepare for the visit on short notice.,Operations
Internship offer letter issuance [TKT-5175],"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Spam emails bypassing corporate filter [TKT-5045],A large volume of phishing and spam emails are reaching employee inboxes despite the corporate email security filter. Filter rules may need updating.,IT Support
Quarterly goals review and reset [TKT-5504],Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Year-end performance rating distribution [TKT-5398],HR is reviewing the distribution of year-end performance ratings across departments to ensure consistency and fairness before ratings are communicated to employees.,HR
New equipment installation coordination [TKT-5576],"A new piece of manufacturing equipment is arriving next week. Operations needs to coordinate installation space, electrical connections and operator training.",Operations
Employee not enrolled in payroll system [TKT-5449],New employee who joined 6 weeks ago was never enrolled in the payroll system and has not received any salary payment for the past month.,Finance
Monthly closing checklist completion [TKT-5156],Finance manager is following up with team members on outstanding items in the month-end closing checklist that are due by end of business today.,Finance
Performance management process query [TKT-5491],Manager needs clarification on the performance management timeline and how to handle an employee who joined mid-year and missed part of the review cycle.,Manager
Accounts receivable write-off approval needed [TKT-5130],"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Incorrect bank details for salary transfer [TKT-5082],Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Spam emails bypassing corporate filter [TKT-5125],A large volume of phishing and spam emails are reaching employee inboxes despite the corporate email security filter. Filter rules may need updating.,IT Support
Salary processing delayed this month,"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Monthly closing checklist completion [TKT-5076],Finance manager is following up with team members on outstanding items in the month-end closing checklist that are due by end of business today.,Finance
Machine calibration due [TKT-5261],Three precision machines in the production facility are due for calibration. Uncalibrated equipment may be producing out-of-specification products.,Operations
Approval for project scope change [TKT-5210],Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Vendor payment on credit hold [TKT-5184],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Interbank transfer confirmation delayed [TKT-5340],An interbank transfer made three days ago has not yet been credited to the beneficiary account. Bank is investigating but update is needed urgently.,Finance
Sabbatical leave request [TKT-5246],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Foreign vendor payment blocked by bank,An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Incorrect depreciation method applied [TKT-5494],Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Goods returned by customer quality check [TKT-5095],A batch of goods was returned by a major customer citing quality defects. Operations needs to inspect the batch and initiate a root cause analysis.,Operations
Internal loan between subsidiaries [TKT-5559],Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Freight cost allocation query [TKT-5352],Operations and Finance disagree on how to allocate inbound freight costs across different product categories for inventory valuation purposes.,Finance
Emergency response plan activation [TKT-5437],A potential flooding risk has been identified at the main office location. Emergency response plan needs to be activated and employees need to be briefed.,Manager
Outdated OS on employee workstation [TKT-5177],Security scan identified a workstation still running Windows 10 without the latest security patches. OS upgrade needs to be scheduled with the employee.,IT Support
Rebate from vendor not accounted for [TKT-5533],"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
End-of-year leave planning communication,HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Approval to engage freelance consultant [TKT-5175],"Project requires specialized expertise not available internally. Manager requesting approval to engage an external freelance consultant for INR 80,000.",Manager
Virtual machine snapshot storage full [TKT-5433],The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Training budget utilization review [TKT-5549],Only 40 percent of the annual training budget has been utilized with 3 months remaining. HR is reviewing departmental plans to ensure optimal utilization.,HR
User account audit and cleanup [TKT-5552],IT is conducting a user account audit and has identified 34 accounts that appear to belong to former employees that were not deactivated upon leaving.,IT Support
Overdraft fee charged on company account [TKT-5405],Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Headcount report for board meeting [TKT-5098],"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Customer feedback response strategy [TKT-5336],"Following a batch of negative customer reviews, management review of the feedback and approval of a formal response and improvement strategy is needed.",Manager
Customs clearance delay for imported goods [TKT-5604],A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Print server migration planning [TKT-5397],IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Accounts payable duplicate payment audit [TKT-5227],Finance is conducting an audit of all vendor payments made in the past 12 months to identify any duplicate payments and initiate recovery.,Finance
New equipment installation coordination [TKT-5656],"A new piece of manufacturing equipment is arriving next week. Operations needs to coordinate installation space, electrical connections and operator training.",Operations
Password manager enterprise deployment [TKT-5542],IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Multi-factor authentication app switch [TKT-5536],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Approval for team offsite planning [TKT-5205],"Manager requesting budget approval of INR 2,50,000 for a 2-day team offsite focused on strategy alignment and team building for 15 employees.",Manager
Cleaning and sanitation schedule not followed [TKT-5117],The production area cleaning and sanitation schedule is not being consistently followed by the cleaning team. Non-compliance may cause food safety issues.,Operations
Digital certificate for code signing needed [TKT-5087],Developer needs a code signing certificate to sign software releases before distribution. Requesting IT to procure and configure the appropriate certificate.,IT Support
Approval for project scope change [TKT-5450],Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Charitable donation tax deduction query [TKT-5075],Company made a donation to a registered charity last month. Finance needs to confirm the correct tax deduction section under which to claim the exemption.,Finance
Digital HR system migration [TKT-5654],HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
Fleet maintenance record incomplete [TKT-5278],Annual review of the vehicle fleet maintenance records found that 4 vehicles do not have complete service history documentation as required by policy.,Operations
Promotion announcement communication [TKT-5176],Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Job evaluation for new role [TKT-5074],A newly created role needs to be formally evaluated and graded by HR to determine the appropriate salary band and reporting level before recruitment begins.,HR
Multi-factor authentication app switch [TKT-5256],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Candidate rejection communication [TKT-5408],HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Employment tribunal response preparation [TKT-5053],HR legal team is preparing a formal response to an employment tribunal claim filed by a former employee. Documentation and witness statements are needed.,HR
Project invoice raised to wrong client [TKT-5643],Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Competency framework rollout [TKT-5249],HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Network monitoring tool false alerts [TKT-5349],"The network monitoring tool is generating a high volume of false positive alerts, causing the IT team to miss genuine issues in the noise.",IT Support
Regulatory filing deadline extension request [TKT-5432],"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Cleaning and sanitation schedule not followed [TKT-5637],The production area cleaning and sanitation schedule is not being consistently followed by the cleaning team. Non-compliance may cause food safety issues.,Operations
Emergency response plan activation [TKT-5357],A potential flooding risk has been identified at the main office location. Emergency response plan needs to be activated and employees need to be briefed.,Manager
Employee survey design and distribution [TKT-5071],HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Employee safety boot replacement [TKT-5554],Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Data governance policy implementation [TKT-5334],IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Gift card not accepted at third party store [TKT-5380],Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Invoice processing automation failing [TKT-5255],An automated workflow that processes and routes vendor invoices for approval has stopped functioning. Invoices are piling up and vendor payments are at risk.,IT Support
Regulatory filing deadline extension request [TKT-5112],"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Advance payment to new supplier query [TKT-5113],Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Foreign vendor payment blocked by bank [TKT-5095],An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Lease accounting standard adoption query,Finance team is seeking guidance on adopting the new lease accounting standard for the company's operating leases starting from the next financial year.,Finance
Monthly one-on-one meeting schedule,Manager requesting HR support to set up a recurring monthly one-on-one meeting schedule for all direct reports using the company's scheduling tool.,Manager
Revenue deferral calculation for subscription,Company sells annual subscriptions and needs guidance on how to correctly defer and recognize revenue on a monthly basis for accounting purposes.,Finance
Lease accounting standard adoption query [TKT-5108],Finance team is seeking guidance on adopting the new lease accounting standard for the company's operating leases starting from the next financial year.,Finance
Cold storage temperature alarm [TKT-5363],The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Time tracking system not recording correctly [TKT-5104],Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Support agent gave incorrect information [TKT-5585],Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Production planning data not updated [TKT-5623],The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Wi-Fi dead zones in office [TKT-5194],Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Advance payment to new supplier query [TKT-5353],Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Legacy data migration from old server [TKT-5471],An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Teams meeting recording not available [TKT-5164],A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Third-party audit finding response plan [TKT-5446],External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Monthly one-on-one meeting schedule [TKT-5201],Manager requesting HR support to set up a recurring monthly one-on-one meeting schedule for all direct reports using the company's scheduling tool.,Manager
Production target not met this quarter [TKT-5349],Operations failed to meet the quarterly production target by 12 percent. A report on contributing factors and corrective measures is needed for the management review.,Operations
User account audit and cleanup [TKT-5072],IT is conducting a user account audit and has identified 34 accounts that appear to belong to former employees that were not deactivated upon leaving.,IT Support
Supplier quality audit scheduling [TKT-5531],Quarterly quality audit of the top 3 suppliers is due. Operations needs to coordinate schedules and prepare audit checklists before the visits.,Operations
Order delivery window too wide [TKT-5228],Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Accounts payable duplicate payment audit [TKT-5667],Finance is conducting an audit of all vendor payments made in the past 12 months to identify any duplicate payments and initiate recovery.,Finance
Delivery attempted but no notification sent [TKT-5099],Courier attempted delivery while customer was home but did not ring the doorbell and left a card instead. No advance notification was given.,Customer Support
Approval for project scope change [TKT-5290],Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Delivery attempted but no notification sent [TKT-5059],Courier attempted delivery while customer was home but did not ring the doorbell and left a card instead. No advance notification was given.,Customer Support
Rebate from vendor not accounted for [TKT-5093],"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Laptop battery draining too fast [TKT-5122],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Email newsletter has broken images [TKT-5101],Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Candidate rejection communication [TKT-5648],HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Raw material substitution approval [TKT-5412],Primary raw material is out of stock and a substitute material is available. Production needs operations and quality team approval before using the substitute.,Operations
Sabbatical leave request [TKT-5406],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Performance management process query [TKT-5531],Manager needs clarification on the performance management timeline and how to handle an employee who joined mid-year and missed part of the review cycle.,Manager
Vendor payment on credit hold [TKT-5424],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Remote employee contract addendum [TKT-5045],An employee transitioning to a permanently remote work arrangement needs a formal contract addendum reflecting the change in work location and terms.,HR
Employee safety boot replacement [TKT-5354],Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Product stopped working after 2 days [TKT-5644],A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Trial balance discrepancy before audit [TKT-5474],"The trial balance prepared for the external audit has a debit-credit difference of INR 4,200. The error needs to be traced and corrected before the auditors arrive.",Finance
Salary processing delayed this month [TKT-5652],"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Re-engagement of boomerang employee [TKT-5190],A former employee who left 18 months ago has applied for a position and has been recommended for rehire. HR needs to process their re-onboarding paperwork.,HR
Employee survey design and distribution,HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Grievance escalation to HR director [TKT-5353],An employee grievance that was not resolved at the manager level is being escalated to the HR director for formal review and decision.,HR
Statutory payment confirmation needed [TKT-5247],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Company social event planning [TKT-5540],"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Order shows delivered but not received [TKT-5481],Customer's order status changed to delivered but the package was not found at the delivery address. Neighbors were checked and no package was left with them either.,Customer Support
Product expiry date already passed on delivery [TKT-5464],Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Domain name renewal lapse risk [TKT-5550],IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Unannounced customer plant visit [TKT-5193],A major customer has requested an unannounced plant visit in 48 hours to conduct their own audit. Operations needs to prepare for the visit on short notice.,Operations
Incorrect bank details for salary transfer [TKT-5362],Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Employee self-service portal error [TKT-5638],Employees are getting errors when trying to submit IT requests through the self-service portal. The submit button is returning a form validation error.,IT Support
Order delivery window too wide [TKT-5348],Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Quarter-end closing deadline missed by department [TKT-5606],A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
Laptop battery draining too fast [TKT-5402],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Medical reimbursement documents rejected [TKT-5401],Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Geographic expansion resource planning [TKT-5299],"Following management approval to expand to a new city, the operations manager is requesting approval of the resource and budget plan for the expansion.",Manager
Partial order delivered [TKT-5522],Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Production line downtime report [TKT-5369],Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
App shows different price than website [TKT-5258],The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Chatbot transferred to wrong department [TKT-5297],"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Large file transfer solution needed [TKT-5305],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Vendor shortlisting for new service [TKT-5577],Procurement team has shortlisted three vendors for a new service. Requesting management review of evaluation scorecard and decision on preferred vendor.,Manager
Mobile device remotely wiped incorrectly [TKT-5628],An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Shipping documentation error [TKT-5219],An error in the packing list sent to a customer caused a customs delay at their end. Operations needs to issue corrected documentation immediately.,Operations
Endpoint detection alert review [TKT-5174],IT security received an alert from the endpoint detection system about suspicious activity on one workstation. Investigation and response are needed.,IT Support
Approval for crisis communication plan [TKT-5231],Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
New equipment installation coordination [TKT-5056],"A new piece of manufacturing equipment is arriving next week. Operations needs to coordinate installation space, electrical connections and operator training.",Operations
Gift card not accepted at third party store [TKT-5260],Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Year-end performance rating distribution [TKT-5598],HR is reviewing the distribution of year-end performance ratings across departments to ensure consistency and fairness before ratings are communicated to employees.,HR
Employee expense claim currency conversion query [TKT-5302],Employee who incurred expenses in USD during an overseas trip needs clarification on which exchange rate to use when converting to INR for the claim.,Finance
Prepaid expense amortization schedule error [TKT-5096],The prepaid expense amortization schedule has an error in the monthly amounts due to a formula mistake. All future months need to be recalculated.,Finance
Monthly one-on-one meeting schedule [TKT-5361],Manager requesting HR support to set up a recurring monthly one-on-one meeting schedule for all direct reports using the company's scheduling tool.,Manager
